Name,State,Party,BirthDate,Occupation,PreviousOffice,Education,AssumedOffice,Election,Residence
Richard Shelby,Alabama,Republican,"May 6, 1934 (age 88)",Lawyer,"U.S. House, Alabama Senate","University of Alabama (BA, LLB), Birmingham School of Law (JD)",3-Jan-87,2022,Tuscaloosa
Tommy Tuberville,Alabama,Republican,"September 18, 1954 (age 68)","College football coach, Investment management firm partner",None,Southern Arkansas University (BS),3-Jan-21,2026,Auburn
Lisa Murkowski,Alaska,Republican,"May 22, 1957 (age 65)",Lawyer,Alaska House of Representatives,"Georgetown University (AB), Willamette University (JD)",20-Dec-02,2022,Girdwood
Dan Sullivan,Alaska,Republican,"November 13, 1964 (age 57)","U.S. Marine Corps officer, Lawyer, Assistant Secretary of State for Economic and Business Affairs",Alaska Attorney General,"Harvard University (AB), Georgetown University (MS, JD)",3-Jan-15,2026,Anchorage
Kyrsten Sinema,Arizona,Democratic,"July 12, 1976 (age 46)","Social worker, Political activist, Lawyer, College lecturer","U.S. House, Arizona Senate, Arizona House of Representatives","Brigham Young University (BA), Arizona State University, Tempe (MSW, JD, PhD)",3-Jan-19,2024,Phoenix
Mark Kelly,Arizona,Democratic,"February 21, 1964 (age 58)","U.S. Navy officer, NASA astronaut, Americans for Responsible Solutions Co-founder",None,"United States Merchant Marine Academy (BS), Naval Postgraduate School (MS)",2-Dec-20,2022,Tucson
John Boozman,Arkansas,Republican,"December 10, 1950 (age 71)",Optometrist,"U.S. House, Rogers Public Schools Board","University of Arkansas, Southern College of Optometry (OD)",3-Jan-11,2022,Rogers
Tom Cotton,Arkansas,Republican,"May 13, 1977 (age 45)","Lawyer, United States Army officer",U.S. House,"Harvard University (AB, JD)",3-Jan-15,2026,Dardanelle
Dianne Feinstein,California,Democratic,"June 22, 1933 (age 89)","Nonprofit organization fellow, California Women's Parole Board Member","Mayor of San Francisco, San Francisco Board of Supervisors",Stanford University (BA),10-Nov-92,2024,San Francisco
Alex Padilla,California,Democratic,"March 22, 1973 (age 49)",Engineer,"Secretary of State of California, California Senate, Los Angeles City Council President",Massachusetts Institute of Technology (BS),20-Jan-21,2022,Los Angeles
Michael Bennet,Colorado,Democratic,"November 28, 1964 (age 57)","Lawyer, Investment company executive, Denver Public SchoolsSuperintendent, Chief of staff to the Mayor of Denver",None,"Wesleyan University (BA), Yale University (JD)",21-Jan-09,2022,Denver
John Hickenlooper,Colorado,Democratic,"February 7, 1952 (age 70)","Geologist, Businessman","Governor of Colorado, Mayor of Denver","Wesleyan University (BA, MS)",3-Jan-21,2026,Denver
Richard Blumenthal,Connecticut,Democratic,"February 13, 1946 (age 76)","Marine Corps Reserve Sergeant, Senate staffer, Lawyer, U.S. Attorney","Connecticut Attorney General, Connecticut Senate, Connecticut House of Representatives","Harvard University (AB), Trinity College, Cambridge, Yale University (JD)",3-Jan-11,2022,Greenwich
Chris Murphy,Connecticut,Democratic,"August 3, 1973 (age 49)","Lawyer, Political campaign manager","U.S. House, Connecticut Senate, Connecticut House of Representatives","Williams College (BA), Exeter College, Oxford, University of Connecticut (JD)",3-Jan-13,2024,Hartford
Tom Carper,Delaware,Democratic,"January 23, 1947 (age 75)","U.S. Navy officer, Delaware Office of Economic Development","Governor of Delaware, U.S. House, Delaware Treasurer","Ohio State University (BA), University of Delaware (MBA)",3-Jan-01,2024,Wilmington
Chris Coons,Delaware,Democratic,"September 9, 1963 (age 59)","Nonprofit organization executive, Lawyer","New Castle County, Delaware County Executive, New Castle County Council","Amherst College (BA), Yale University (MAR, JD)",15-Nov-10,2026,Wilmington
Marco Rubio,Florida,Republican,"May 28, 1971 (age 51)",Lawyer,"Florida House Speaker, West Miami City Commission","University of Florida (BA), University of Miami (JD)",3-Jan-11,2022,West Miami
Rick Scott,Florida,Republican,"December 1, 1952 (age 69)","U.S. Navy officer, Lawyer, Columbia/HCA CEO, Venture capitalist",Governor of Florida,"University of Missouri-Kansas City (BS), Southern Methodist University (JD)",8-Jan-19,2024,Naples
Jon Ossoff,Georgia,Democratic,"February 16, 1987 (age 35)","Investigative journalist, Documentary film producer, U.S. House staffer",None,"Georgetown University (BS), London School of Economics (MSc)",20-Jan-21,2026,Atlanta
Raphael Warnock,Georgia,Democratic,"July 23, 1969 (age 53)",Pastor,None,"Morehouse College (BA), Union Theological Seminary (MDiv, MPhil, PhD)",20-Jan-21,2022,Atlanta
Brian Schatz,Hawaii,Democratic,"October 20, 1972 (age 49)","Teacher, Nonprofit organization executive","Lieutenant Governor of Hawaii, Hawaii House of Representatives",Pomona College (BA),26-Dec-12,2022,Honolulu
Mazie Hirono,Hawaii,Democratic,"November 3, 1947 (age 74)",Lawyer,"U.S. House, Lieutenant Governor of Hawaii, Hawaii House of Representatives","University of Hawaii at Manoa (BA), Georgetown University (JD)",3-Jan-13,2024,Honolulu
Mike Crapo,Idaho,Republican,"May 20, 1951 (age 71)",Lawyer,"U.S. House, Idaho Senate","Brigham Young University (BA), Harvard University (JD)",3-Jan-99,2022,Idaho Falls
Jim Risch,Idaho,Republican,"May 3, 1943 (age 79)","Professor, Rancher, Nonprofit organization executive, Lawyer","Governor of Idaho, Lieutenant Governor of Idaho, Idaho Senate President pro tempore","University of Wisconsin-Milwaukee, University of Idaho (BS, JD)",3-Jan-09,2026,Boise
Dick Durbin,Illinois,Democratic,"November 21, 1944 (age 77)","Lawyer, Professor",U.S. House,"Georgetown University (BS, JD)",3-Jan-97,2026,Springfield
Tammy Duckworth,Illinois,Democratic,"March 12, 1968 (age 54)","Army National Guard officer, Center for Nursing Research at Northern Illinois University Coordinator, U.S. Assistant Secretary of Veterans Affairs, Illinois Director of Veterans Affairs",U.S. House,"University of Hawaii at Manoa (BA), George Washington University (MA)Northern Illinois University, Capella University (PhD)",3-Jan-17,2022,Hoffman Estates
Todd Young,Indiana,Republican,"August 24, 1972 (age 50)","Marine Corps officer, Professor, Management consultant, Lawyer",U.S. House,"United States Naval Academy (BS), University of Chicago (MBA), University of London (MA), Indiana University, Indianapolis (JD)",3-Jan-17,2022,Bloomington
Mike Braun,Indiana,Republican,"March 24, 1954 (age 68)",Businessman,"Indiana House of RepresentativesJasper, IndianaSchool Board","Wabash College (BA), Harvard University (MBA)",3-Jan-19,2024,Jasper
Chuck Grassley,Iowa,Republican,"September 17, 1933 (age 89)","Farmer, College professor","U.S. House, Iowa House of Representatives","University of Northern Iowa (BA, MA), University of Iowa",3-Jan-81,2022,New Hartford
Joni Ernst,Iowa,Republican,"July 1, 1970 (age 52)","Farmer, Army National Guard officer",Iowa Senate,"Iowa State University (BA), Columbus State University (MPA)",3-Jan-15,2026,Red Oak
Jerry Moran,Kansas,Republican,"May 29, 1954 (age 68)","Banker, Lawyer","U.S. House, Kansas Senate","Fort Hays State University, University of Kansas (BA, JD)",3-Jan-11,2022,Manhattan
Roger Marshall,Kansas,Republican,"August 9, 1960 (age 62)","Doctor, U.S. Army Reserve officer",U.S. House,"Kansas State University (BS), University of Kansas (MD)",3-Jan-21,2026,Great Bend
Mitch McConnell,Kentucky,Republican,"February 20, 1942 (age 80)","Lawyer, U.S. Senate staff member, United States Attorney Assistant Attorney General for the U.S. Department of Justice Office of Legislative Affairs","Judge/Executive of Jefferson County, Kentucky","University of Louisville (BA), University of Kentucky (JD)",3-Jan-85,2026,Louisville
Rand Paul,Kentucky,Republican,"January 7, 1963 (age 59)",Physician specializing in Ophthalmology,None,"Baylor University, Duke University (MD)",3-Jan-11,2022,Bowling Green
Bill Cassidy,Louisiana,Republican,"September 28, 1957 (age 65)",Physician,"U.S. House, Louisiana Senate","Louisiana State University (BS, MD)",3-Jan-15,2026,Baton Rouge
John Kennedy,Louisiana,Republican,"November 21, 1951 (age 70)","Magazine editor, Lawyer, Professor, Staff of Louisiana Governor Buddy Roemer, Secretary of the Louisiana Department of Revenue",Louisiana Treasurer,"Vanderbilt University (BA), University of Virginia (JD), Magdalen College, Oxford (BCL)",3-Jan-17,2022,Madisonville
Susan Collins,Maine,Republican,"December 7, 1952 (age 69)","House staffer, Senate staffer, Small Business AdministrationRegional Director, Deputy Treasurer of Massachusetts",None,St. Lawrence University (BA),3-Jan-97,2026,Bangor
Angus King,Maine,Independent,"March 31, 1944 (age 78)","Lawyer, Senate staffer, Entrepreneur, Corporate executive, Public television news program host",Governor of Maine,"Dartmouth College (BA), University of Virginia (JD)",3-Jan-13,2024,Brunswick
Ben Cardin,Maryland,Democratic,"October 5, 1943 (age 78)",Lawyer,"U.S. House, Speaker of the Maryland House of Delegates","University of Pittsburgh (BA), University of Maryland, Baltimore (JD)",3-Jan-07,2024,Baltimore
Chris Van Hollen,Maryland,Democratic,"January 10, 1959 (age 63)","U.S. Senate staff member, Maryland Governor's legislative advisor, Lawyer","U.S. House, Maryland Senate, Maryland House of Delegates","Swarthmore College (BA), Harvard University (MPP), Georgetown University (JD)",3-Jan-17,2022,Kensington
Elizabeth Warren,Massachusetts,Democratic,"June 22, 1949 (age 73)","Lawyer, Professor, Research associate, Nonprofit organization executive, COP Chair, CFPB Special Advisor",None,"George Washington University, University of Houston (BS), Rutgers University-Newark (JD)",3-Jan-13,2024,Cambridge
Ed Markey,Massachusetts,Democratic,"July 11, 1946 (age 76)","United States Army Reserve, Lawyer","U.S. House, Massachusetts House of Representatives","Boston College (BA, JD)",16-Jul-13,2026,Malden
Debbie Stabenow,Michigan,Democratic,"April 29, 1950 (age 72)","Social worker, Leadership training consultant","U.S. House, Michigan House of Representatives, Michigan Senate","Michigan State University (BA, MSW)",3-Jan-01,2024,Lansing
Gary Peters,Michigan,Democratic,"December 1, 1958 (age 63)","United States Navy Reserve officer, Financial advisor, Lawyer, College professor and lecturer","U.S. House, Michigan Senate","Alma College (BA), University of Detroit (MBA), Wayne State University (JD, MA)Michigan State University (MA)",3-Jan-15,2026,Bloomfield Hills
Amy Klobuchar,Minnesota,Democratic,"May 25, 1960 (age 62)",Lawyer,"Hennepin County, Minnesota County Attorney","Yale University (BA), University of Chicago (JD)",3-Jan-07,2024,Minneapolis
Tina Smith,Minnesota,Democratic,"March 4, 1958 (age 64)","Public relations consultant, Political campaign manager, Chief of staff to the Mayor of Minneapolis, Chief of staff to the Governor of Minnesota",Lieutenant Governor of Minnesota,"Stanford University (BA), Dartmouth College (MBA)",3-Jan-18,2026,Minneapolis
Roger Wicker,Mississippi,Republican,"July 5, 1951 (age 71)","U.S. Air Force officer/Judge Advocate, U.S. House staffer, Lawyer","U.S. House, Mississippi Senate","University of Mississippi (BA, JD)",31-Dec-07,2024,Tupelo
Cindy Hyde-Smith,Mississippi,Republican,"May 10, 1959 (age 63)",Farmer,"Mississippi Commissioner of Agriculture and Commerce, Mississippi Senate","Copiah-Lincoln Community College (AA), University of Southern Mississippi (BA)",9-Apr-18,2026,Brookhaven
Roy Blunt,Missouri,Republican,"January 10, 1950 (age 72)",University president,"U.S. House, Missouri Secretary of State, Greene County, Missouri Clerk","Southwest Baptist University (BA), Southwest Missouri State University (MA)",3-Jan-11,2022,Springfield
Josh Hawley,Missouri,Republican,"December 31, 1979 (age 42)","Lawyer, Professor",Attorney General of Missouri,"Stanford University (BA), Yale University (JD)",3-Jan-19,2024,Ozark
Jon Tester,Montana,Democratic,"August 21, 1956 (age 66)","Music teacher, Farmer","Montana SenatePresident, Big Sandy, MontanaSchool Board",University of Providence (BA),3-Jan-07,2024,Big Sandy
Steve Daines,Montana,Republican,"August 20, 1962 (age 60)",Businessman,U.S. House,Montana State University (BS),3-Jan-15,2026,Bozeman
Deb Fischer,Nebraska,Republican,"March 1, 1951 (age 71)",Rancher,Nebraska Legislature,University of Nebraska-Lincoln (BS),3-Jan-13,2024,Valentine
Ben Sasse,Nebraska,Republican,"February 22, 1972 (age 50)","Management consultant, House staffer, Professor, University president, Assistant Secretary for Planning and Evaluation, HHS",None,"Harvard University (AB), St. John's College, Maryland (MA), Yale University (MA, MPhil, PhD)",3-Jan-15,2026,Fremont
Catherine Cortez Masto,Nevada,Democratic,"March 29, 1964 (age 58)",Lawyer,Nevada Attorney General,"University of Nevada, Reno (BS), Gonzaga University (JD)",3-Jan-17,2022,Las Vegas
Jacky Rosen,Nevada,Democratic,"August 2, 1957 (age 65)","Computer programmer, Software developer, designer, consultant[12][13]",U.S. House,"University of Minnesota (BA), Clark County Community College (AAS)",3-Jan-19,2024,Henderson
Jeanne Shaheen,New Hampshire,Democratic,"January 28, 1947 (age 75)","Teacher, Entrepreneur","Governor of New Hampshire, New Hampshire Senate","Shippensburg University (BA), University of Mississippi (MSS)",3-Jan-09,2026,Madbury
Maggie Hassan,New Hampshire,Democratic,"February 27, 1958 (age 64)",Lawyer,"Governor of New Hampshire, New Hampshire Senate","Brown University (BA), Northeastern University (JD)",3-Jan-17,2022,Newfields
Bob Menendez,New Jersey,Democratic,"January 1, 1954 (age 68)",Lawyer,"U.S. House, New Jersey Senate, New Jersey General Assembly, Mayor of Union City, Union City Board of Education","Saint Peter's University (BA), Rutgers University-Newark (JD)",17-Jan-06,2024,Harrison
Cory Booker,New Jersey,Democratic,"April 27, 1969 (age 53)",Lawyer,"Mayor of Newark, New Jersey, Newark Municipal Council","Stanford University (BA, MA), Queen's College, Oxford (MA), Yale University (JD)",31-Oct-13,2026,Newark
Martin Heinrich,New Mexico,Democratic,"October 17, 1971 (age 50)","Nonprofit organization executive, Public relations consultant","U.S. House, Albuquerque City Council",University of Missouri (BS),3-Jan-13,2024,Albuquerque
Ben Ray Luján,New Mexico,Democratic,"June 7, 1972 (age 50)","New Mexico Cultural Affairs Department Director of Administrative Services and, Chief Financial Officer, , New Mexico Deputy State Treasurer","U.S. House, New Mexico Public Regulation Commission",New Mexico Highlands University (BBA),3-Jan-21,2026,Nambe
Chuck Schumer,New York,Democratic,"November 23, 1950 (age 71)",Lawyer,"U.S. House, New York State Assembly","Harvard University (AB, JD)",3-Jan-99,2022,Brooklyn
Kirsten Gillibrand,New York,Democratic,"December 9, 1966 (age 55)","Lawyer, U.S. HUD special counsel",U.S. House,"Dartmouth College (BA), University of California, Los Angeles (JD)",26-Jan-09,2024,Albany
Richard Burr,North Carolina,Republican,"November 30, 1955 (age 66)","Sales manager, Nonprofit organization executive",U.S. House,Wake Forest University (BA),3-Jan-05,2022,Winston-Salem
Thom Tillis,North Carolina,Republican,"August 30, 1960 (age 62)",Business consultant,Speaker of the North Carolina House of Representatives,University of Maryland University College (BS),3-Jan-15,2026,Huntersville
John Hoeven,North Dakota,Republican,"March 13, 1957 (age 65)",Banker,Governor of North Dakota,"Dartmouth College (BA), Northwestern University (MBA)",3-Jan-11,2022,Bismarck
Kevin Cramer,North Dakota,Republican,"January 21, 1961 (age 61)","State Tourism Director, State Economic Development and Finance Director, North Dakota Republican Party Chairman","U.S. House, North Dakota Public Service Commissioner","Concordia College (BA), University of Mary (MA)",3-Jan-19,2024,Bismarck
Sherrod Brown,Ohio,Democratic,"November 9, 1952 (age 69)",Teacher,"U.S. House, Ohio Secretary of State, Ohio House of Representatives","Yale University (BA), Ohio State University (BA, MPA)",3-Jan-07,2024,Cleveland
Rob Portman,Ohio,Republican,"December 19, 1955 (age 66)","Lawyer, U.S. Trade Representative, Director of the Office of Management and Budget",U.S. House,"Dartmouth College (BA), University of Michigan (JD)",3-Jan-11,2022,Terrace Park
Jim Inhofe,Oklahoma,Republican,"November 17, 1934 (age 87)","U.S. Army, Businessman, Real estate developer, Corporate executive","U.S. House, Mayor of Tulsa, Oklahoma, Oklahoma Senate, Oklahoma House of Representatives",University of Tulsa (BA),16-Nov-94,2022,Tulsa
James Lankford,Oklahoma,Republican,"March 4, 1968 (age 54)","Teacher, Nonprofit program director",U.S. House,"University of Texas, Austin (BS), Southwestern Baptist Theological Seminary (MDiv)",3-Jan-15,2022,Edmond
Ron Wyden,Oregon,Democratic,"May 3, 1949 (age 73)","Teacher, Nonprofit organization executive",U.S. House,"Stanford University (BA), University of Oregon (JD)",5-Feb-96,2022,Portland
Jeff Merkley,Oregon,Democratic,"October 24, 1956 (age 65)","Nonprofit organization executive, CBO analyst Defense Department",Oregon House Speaker,"Stanford University (BA), Princeton University (MPA)",3-Jan-09,2026,Portland
Bob Casey Jr.,Pennsylvania,Democratic,"April 13, 1960 (age 62)","Teacher, Lawyer","Pennsylvania Treasurer, Pennsylvania Auditor","College of the Holy Cross (BA), Catholic University of America (JD)",3-Jan-07,2024,Scranton
Pat Toomey,Pennsylvania,Republican,"November 17, 1961 (age 60)","Currency trader, Restaurateur",U.S. House,Harvard University (AB),3-Jan-11,2022,Zionsville
Jack Reed,Rhode Island,Democratic,"November 12, 1949 (age 72)","Lawyer, U.S. Army Reserve officer, U.S. Army officer","U.S. House, Rhode Island Senate","United States Military Academy (BS), Harvard University (MPP, JD)",3-Jan-97,2026,Jamestown
Sheldon Whitehouse,Rhode Island,Democratic,"October 20, 1955 (age 66)","Lawyer, United States Attorney",Attorney General of Rhode Island,"Yale University (BA), University of Virginia (JD)",3-Jan-07,2024,Newport
Lindsey Graham,South Carolina,Republican,"July 9, 1955 (age 67)","Lawyer, U.S. Air Force Reserve officer","U.S. House, South Carolina House of Representatives","University of South Carolina (BA, JD)",3-Jan-03,2026,Seneca
Tim Scott,South Carolina,Republican,"September 19, 1965 (age 57)","Insurance agent, Financial adviser","U.S. House, South Carolina House of Representatives, Charleston CountyCouncil","Presbyterian College, Charleston Southern University (BS)",2-Jan-13,2022,Hanahan
John Thune,South Dakota,Republican,"January 7, 1961 (age 61)","Nonprofit organization executive, State Railroad Director, South Dakota Republican Party Executive Director",U.S. House,"Biola University (BA), University of South Dakota (MBA)",3-Jan-05,2022,Sioux Falls
Mike Rounds,South Dakota,Republican,"October 24, 1954 (age 67)",Businessman,"Governor of South Dakota, South Dakota Senate",South Dakota State University (BS),3-Jan-15,2026,Fort Pierre
Marsha Blackburn,Tennessee,Republican,"June 6, 1952 (age 70)","Marketing consultant, Executive Director of the Tennessee Film, Entertainment, and Music Commission","U.S. House, Tennessee Senate",Mississippi State University (BS),3-Jan-19,2024,Brentwood
Bill Hagerty,Tennessee,Republican,"August 14, 1959 (age 63)","Management consultant, Private equity investment firm partner, United States Ambassador to Japan, Tennessee Commissioner of Economic and Community Development",None,"Vanderbilt University (BA, JD)",3-Jan-21,2026,Nashville
John Cornyn,Texas,Republican,"February 2, 1952 (age 70)",Lawyer,"San Antonio District Judge, Texas Attorney General, Texas Supreme Court, (Associate Justice)","Trinity University (BA), St. Mary's University, Texas (JD), University of Virginia (LLM)",2-Dec-02,2026,Austin
Ted Cruz,Texas,Republican,"December 22, 1970 (age 51)","Lawyer, U.S. Assoc. Deputy AG, Texas Solicitor General",None,"Princeton University (AB), Harvard University (JD)",3-Jan-13,2024,Houston
Mike Lee,Utah,Republican,"June 4, 1971 (age 51)","Lawyer, Governor's general counsel, Assistant United States Attorney",None,"Brigham Young University (BA, JD)",3-Jan-11,2022,Alpine
Mitt Romney,Utah,Republican,"March 12, 1947 (age 75)",Businessman,Governor of Massachusetts,"Brigham Young University (BA), Harvard University (JD/MBA)",3-Jan-19,2024,Holladay
Patrick Leahy,Vermont,Democratic,"March 31, 1940 (age 82)",Lawyer,"State's Attorney, Chittenden County, Vermont","Saint Michael's College (BA), Georgetown University (JD)",3-Jan-75,2022,Middlesex
Bernie Sanders,Vermont,Independent,"September 8, 1941 (age 81)","Filmmaker, Writer, Political activist","U.S. House, Mayor of Burlington, Vermont","Brooklyn College, University of Chicago (BA)",3-Jan-07,2024,Burlington
Mark Warner,Virginia,Democratic,"December 15, 1954 (age 67)","Businessman, Venture capitalist, Virginia Democratic PartyChair",Governor of Virginia,"George Washington University (BA), Harvard University (JD)",3-Jan-09,2026,Alexandria
Tim Kaine,Virginia,Democratic,"February 26, 1958 (age 64)","Missionary, Lawyer, Teacher, Democratic National Committee Chair","Governor of Virginia, Lieutenant Governor of Virginia, Mayor of Richmond, Virginia","University of Missouri (BA), Harvard University (JD)",3-Jan-13,2024,Richmond
Patty Murray,Washington,Democratic,"October 11, 1950 (age 71)","Teacher, Lobbyist","Washington Senate, Shoreline SchoolBoard",Washington State University (BA),3-Jan-93,2022,Seattle
Maria Cantwell,Washington,Democratic,"October 13, 1958 (age 63)",RealNetworks Marketing vice president,"U.S. House, Washington House of Representatives",Miami University (BA),3-Jan-01,2024,Edmonds
Joe Manchin,West Virginia,Democratic,"August 24, 1947 (age 75)",Corporate executive,"Governor of West Virginia, Secretary of State of West Virginia, West Virginia Senate, West Virginia House of Delegates",West Virginia University (BBA),15-Nov-10,2024,Charleston
Shelley Moore Capito,West Virginia,Republican,"November 26, 1953 (age 68)","College career counselor, West Virginia Board of Regents educational information center director","U.S. House, West Virginia House of Delegates","Duke University (BA), University of Virginia (MEd)",3-Jan-15,2026,Charleston
Ron Johnson,Wisconsin,Republican,"April 8, 1955 (age 67)","Accountant, Corporate executive",None,University of Minnesota (BS),3-Jan-11,2022,Oshkosh
Tammy Baldwin,Wisconsin,Democratic,"February 11, 1962 (age 60)",Lawyer,"U.S. House, Wisconsin Assembly, Dane County, Wisconsin Board of Supervisors","Smith College (BA), University of Wisconsin-Madison (JD)",3-Jan-13,2024,Madison
John Barrasso,Wyoming,Republican,"July 21, 1952 (age 70)","Orthopedic surgeon, Medical chief of staff, Nonprofit organization executive",Wyoming Senate,"Rensselaer Polytechnic Institute, Georgetown University (BS, MD)",25-Jun-07,2024,Casper
Cynthia Lummis,Wyoming,Republican,"September 10, 1954 (age 68)",Lawyer,"U.S. House, Wyoming Treasurer, Wyoming Senate, Wyoming House of Representatives","University of Wyoming (BS, JD)",3-Jan-21,2026,Cheyenne